agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_goal_zone_error_xz,final_goal_zone_error_xz,normalized_task_progress,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,success_goal_consistency,final_goal_error,final_center_distance_xz,final_center_distance_xyz,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,72,360000,0,timeout,-0.9999,5000,-1,8.7114,8.7114,0.0000,11.8247,11.7867,0.0032,1.0000,11.7867,11.7797,11.7867,-0.7362,1.0000,-3.5371,-0.7362,0.3750,-3.5371,10.5000,-0.0300,0.0000
Agent,73,365000,0,timeout,-0.9999,5000,-1,13.2160,13.2160,0.0000,15.8034,15.7750,0.0018,1.0000,15.77503,15.7698,15.7750,5.2408,1.0000,-0.9562,5.2408,0.3750,-0.9562,-10.5000,-0.0300,0.0000
Agent,74,370000,0,timeout,-0.9999,5000,-1,12.5690,12.5690,0.0000,15.3116,15.2823,0.0019,1.0000,15.28233,15.2770,15.2823,-4.5938,1.0000,2.3583,-4.5938,0.3750,2.3583,10.5000,-0.0300,0.0000
Agent,75,375000,0,timeout,-0.9999,5000,-1,11.8393,11.8393,0.0000,14.6194,14.5887,0.0021,1.0000,14.58873,14.5831,14.5887,2.5180,1.0000,3.8641,2.5180,0.3750,3.8641,0.0000,-0.0300,-10.5000
Agent,76,380000,0,timeout,-0.9999,5000,-1,8.4977,8.4977,0.0000,12.6339,12.5984,0.0028,1.0000,12.59841,12.5919,12.5984,-0.5225,1.0000,-6.0878,-0.5225,0.3750,-6.0878,10.5000,-0.0300,0.0000
Agent,77,385000,0,timeout,-0.9999,5000,-1,6.4016,8.0395,-0.2559,9.1610,11.5517,-0.2610,1.0000,11.55171,11.5446,11.5517,1.5737,1.0000,1.7841,-0.0643,0.3750,4.6555,10.5000,-0.0300,0.0000
Agent,78,390000,0,timeout,-0.9999,5000,-1,8.3606,8.3606,0.0000,11.1647,11.1245,0.0036,1.0000,11.12451,11.1171,11.1245,0.3854,1.0000,-2.2581,0.3854,0.3750,-2.2581,-10.5000,-0.0300,0.0000
Agent,79,395000,0,timeout,-0.9999,5000,-1,8.9041,8.9041,0.0000,11.7665,11.7284,0.0032,1.0000,11.72835,11.7214,11.7284,-0.9289,1.0000,-2.6022,-0.9289,0.3750,-2.6022,10.5000,-0.0300,0.0000
Agent,80,400000,0,timeout,-0.9999,5000,-1,5.2133,5.2133,0.0000,8.7177,8.6661,0.0059,1.0000,8.666145,8.6567,8.6661,-3.8807,1.0000,2.7619,-3.8807,0.3750,2.7619,0.0000,-0.0300,10.5000
Agent,81,405000,0,timeout,-0.9999,5000,-1,13.1992,20.1002,-0.5228,15.8718,23.6951,-0.4929,1.0000,23.69513,23.6917,23.6951,1.9001,1.0000,-5.2240,-7.0288,0.3750,-12.1250,0.0000,-0.0300,10.5000
