agent_id,episode_id,training_step,success,end_reason,failure_mode,episode_reward,final_goal_error
Agent,179,889072,0,timeout,timeout,-0.9999,6.9387
Agent,180,894072,0,timeout,timeout,-0.9999,14.2836
Agent,181,899072,0,timeout,timeout,-0.9999,17.1821
Agent,182,904072,0,timeout,timeout,-0.9999,11.6215
Agent,183,909072,0,timeout,timeout,-0.9999,14.5967
Agent,184,914072,0,timeout,timeout,-0.9999,6.5950
Agent,185,919072,0,timeout,timeout,-0.9999,11.7963
Agent,186,924072,0,timeout,timeout,-0.9999,16.2406
Agent,187,929072,0,timeout,timeout,-0.9999,11.1280
Agent,188,934072,0,timeout,timeout,-0.9999,7.3794
Agent,189,939072,0,timeout,timeout,-0.9999,9.7158
Agent,190,944072,0,timeout,timeout,-0.9999,12.7735
Agent,191,949072,0,timeout,timeout,-0.9999,11.5433
Agent,192,954072,0,timeout,timeout,-0.9999,7.3881
Agent,193,959072,0,timeout,timeout,-0.9999,19.8174
Agent,194,964072,0,timeout,timeout,-0.9999,15.7847
Agent,195,969072,0,timeout,timeout,-0.9999,10.7748
Agent,196,974072,0,timeout,timeout,-0.9999,11.5809
